Site,Year,Month,date_yearmon,CHLa,logCHLa,AFDM,anomaly,Days_Since_Freshet,Q_peak_cfs,Q_baseflow_cfs,Q_obs_cfs,logQ_obs_cfs,TP_mg_L,logTP_mg_L,TN_mg_L,SRP_mg_L,NH4_mg_L,NO3_mg_L,DIN_mg_L,pH,Temp_oC,SPC,TDS,TURBIDITY
BM,2008,8,Aug 2008,62.85,1.7983052820219765,15.315,1.906488611540619,72,35500,5123.015938202797,3050,3.484299839346786,0.01866666666666666,1.2710667722865379,0.2,NA,0.03333333333333333,0.03233333333333332,0.06566666666666665,8.481666666666666,16.333333333333332,249.33333333333337,134.64999999999998,3.8966666666666665
BM,2008,9,Sep 2008,73.2,1.864511081058392,13.565,1.906488611540619,103,35500,5123.015938202797,3050,3.484299839346786,0.01616666666666666,1.2086204838826011,0.2,NA,0.02833333333333333,0.04416666666666666,0.07249999999999998,8.549166666666668,13.558333333333332,285.08333333333337,153.60833333333335,2.9891666666666667
BM,2009,8,Aug 2009,38,1.57978359661681,10.75,1.902901606620565,63,35300,5123.015938202797,2990,3.4756711883244296,0.01943999999999999,1.2886962605902554,0.2105,0.007435,0.00707333333333332,0.03279833333333333,0.03987166666666666,8.305,16.68333333333333,259.83333333333337,137.81666666666666,3.883333333333333
BM,2009,9,Sep 2009,360.7619047619048,2.5572206712612977,40.7,1.902901606620565,98,35300,5123.015938202797,2280,3.357934847000454,0.02352916666666666,1.371606546025273,0.23804166666666665,0.008719,0.011569,0.043121,0.05469,8.346666666666668,16.4,292.16666666666663,154.86666666666667,2.8266666666666667
BM,2010,8,Aug 2010,66.4047619047619,1.8221992238681493,20.526315789473685,1.652071189612471,56,23100,5123.015938202797,2710,3.432969290874406,0.01961666666666666,1.292625212459791,0.21,0.00758333333333333,0.00924999999999998,0.03478333333333333,0.04403333333333333,7.893333333333333,18.133333333333333,256.1666666666667,136.23333333333332,3.126666666666667
BM,2010,9,Sep 2010,138.82857142857142,2.1424788547127305,31.95,1.652071189612471,96,23100,5123.015938202797,2690,3.429752280002408,0.01965833333333333,1.2935466948379706,0.248875,0.00654166666666666,0.02092916666666666,0.05285833333333333,0.0737875,8.115,15.750000000000002,290.33333333333337,154.3,3.3983333333333334
BM,2011,8,Aug 2011,44.285714285714285,1.646263653820016,13.095238095238097,2.0874691691354004,55,46600,5123.015938202797,5730,3.75815462196739,0.02725,1.4353665066126613,0.17866666666666667,0.01136666666666666,0.01811666666666666,0.02661666666666666,0.04473333333333332,8.348333333333333,15.3,221.28333333333333,143.86666666666667,4.933333333333334
BM,2011,9,Sep 2011,39.333333333333336,1.5947607525864629,8.428571428571429,2.0874691691354004,88,46600,5123.015938202797,2800,3.4471580313422194,0.01698333333333333,1.2300229336227826,0.18666666666666665,0.00853333333333333,0.01588333333333333,0.04018333333333333,0.05606666666666665,8.395833333333332,14.225,257.9083333333333,167.61666666666667,2.09
BM,2012,8,Aug 2012,32.76190476190476,1.515369143501592,12.047619047619047,1.8737057862642108,96,33700,5123.015938202797,2430,3.385606273598312,0.016695,1.2225864233903896,0.23093333333333332,0.00588999999999999,0.01567,0.02842999999999999,0.0441,8.256666666666668,17.05,238.81666666666663,155.11666666666667,2.2083333333333335
BM,2012,9,Sep 2012,161.38095238095238,2.207852274103459,27.80952380952381,1.8737057862642108,128,33700,5123.015938202797,1790,3.2528530309798933,0.01399333333333333,1.145921179526719,0.207045,0.00351666666666666,0.0086125,0.03873666666666667,0.04734916666666667,8.27,14.291666666666666,250.775,162.925,2.200833333333333
BM,2013,8,Aug 2013,22.80952380952381,1.358116218680644,8.047619047619047,1.7096403244446603,78,25600,5123.015938202797,1590,3.2013971243204513,0.01297249999999999,1.1130236793669646,0.2439725,0.0035125,0.0136725,0.02704999999999999,0.04072249999999999,8.3525,18.174999999999997,258.95,168.325,2.49
BM,2013,9,Sep 2013,81.42857142857143,1.9107768156582343,14.476190476190476,1.7096403244446603,110,25600,5123.015938202797,1280,3.1072099696478683,0.01537749999999999,1.1868857356957851,0.2493858333333333,0.00555083333333332,0.01359416666666666,0.0367375,0.05033166666666666,8.3875,16.325,282.1,183.275,2.7125
BM,2014,7,Jul 2014,44.1578947368421,1.6450083598758714,14.636842105263158,1.8681292479684624,66,33400,5123.015938202797,3260,3.513217600067939,0.02025,1.3064250275506875,0.14500000000000002,0.00825,NA,0.0093,NA,8.129999999999999,16.950000000000003,228.75,148.85,3.79
BM,2014,9,Sep 2014,123.66666666666669,2.0922526548953835,19.53809523809524,1.8681292479684624,98,33400,5123.015938202797,2880,3.459392487759231,0.0168,1.2253092817258628,0.19,0.00687499999999999,0.0118,0.02439999999999999,0.03619999999999999,8.127500000000001,15.375,308.925,200.675,2.335
BM,2015,7,Jul 2015,228.125,2.35817288180055,64.375,1.4369421813136871,31,15200,5123.015938202797,2520,3.401400540781544,0.0132,1.1205739312058498,0.2065,0.0023,0.0075,0.01145,0.01895,8.395,18.9,222.05,144.3,1.465
BM,2015,8,Aug 2015,100.23809523809524,2.001032805437768,24.761904761904763,1.4369421813136871,61,15200,5123.015938202797,1810,3.2576785748691846,0.016225,1.2101847054724069,0.217,0.00219999999999999,0.0098,0.0165,0.0263,8.37,17.6,251.775,163.625,2.1825
BM,2015,9,Sep 2015,76.33333333333333,1.8827142276202256,16.333333333333332,1.4369421813136871,96,15200,5123.015938202797,1820,3.2600713879850747,0.01995,1.299942900022767,0.23925,0.00245,0.01155,0.0211,0.03265,8.39,14.9,291.175,189.275,3.83
BM,2016,7,Jul 2016,373.08947368421053,2.5718129960648124,92.34157894736842,1.4856888302354885,55,16800,5123.015938202797,3190,3.503790683057181,0.01385,1.1414497734004674,0.1635,0.00166666666666666,0.00789999999999999,0.0113,0.01919999999999998,8.34,16.75,244.85,159.25,1.63
BM,2016,7,Jul 2016,143.85714285714286,2.157931430539361,50.22380952380952,1.4856888302354885,76,16800,5123.015938202797,2080,3.3180633349627615,0.01385,1.1414497734004674,0.1635,0.00166666666666666,0.00789999999999999,0.0113,0.01919999999999998,8.34,16.75,244.85,159.25,1.63
BM,2016,9,Sep 2016,285.76190476190476,2.4560043320321774,51.023809523809526,1.4856888302354885,116,16800,5123.015938202797,1340,3.1271047983648077,0.022525,1.3526647996511005,0.23925,0.00204999999999999,0.01292499999999999,0.0315,0.044425,8.2925,13.425,275.92499999999995,179.375,5.965
BM,2017,7,Jul 2017,13.504761904761905,1.1304869317771096,5.071428571428571,1.7862917049163738,20,29200,5123.015938202797,6660,3.823474229170301,0.01593333333333333,1.2023066418924564,0.15366666666666667,0.00426666666666666,0.010675,0.01076666666666666,0.02144166666666666,8.085,17.5,249.05,161.8,2.2649999999999997
BM,2017,8,Aug 2017,24.99047619047619,1.3977745316336847,6.585714285714285,1.7862917049163738,52,29200,5123.015938202797,2030,3.307496037913213,0.01576666666666666,1.197739886018149,0.17483333333333334,0.00408333333333332,0.0116125,0.02128333333333332,0.03289583333333332,8.135000000000002,17,261.025,169.625,2.025
BM,2017,9,Sep 2017,175.83809523809524,2.245112970620447,47.01904761904762,1.7862917049163738,79,29200,5123.015938202797,1620,3.2095150145426308,0.01627499999999999,1.2115209972402294,0.21225,0.00399999999999999,0.010825,0.02994999999999999,0.04077499999999999,8.1375,14.325,288.1,187.225,2.435
BM,2018,8,Aug 2018,42.51052631578948,1.6284964819284995,11.463157894736842,2.154011832516928,86,51200,5123.015938202797,3070,3.4871383754771865,0.02092499999999999,1.3206654666652975,0.18025,0.006775,0.03095,0.021475,0.052425,8.252500000000001,16.75,269.275,175,2.755
BM,2018,9,Sep 2018,148.36190476190475,2.171322400433563,23.266666666666666,2.154011832516928,122,51200,5123.015938202797,2390,3.3783979009481375,0.01595833333333333,1.2029875322570167,0.20091666666666663,0.00355833333333333,0.02048333333333333,0.03344166666666666,0.05392499999999999,8.2875,14.975,298.125,193.725,2.1
BM,2019,8,Aug 2019,44.315,1.6465507536403412,15.06725,1.8792493268091048,77,34000,5123.015938202797,2500,3.3979400086720375,0.02366666666666666,1.3741370939994126,0.15333333333333332,0.02158333333333333,0.025,0.03208333333333332,0.05708333333333332,8.584999999999999,17.424999999999997,285.525,185.74,3.6425
BM,2019,9,Sep 2019,253.4,2.4038066105474227,58.55,1.8792493268091048,108,34000,5123.015938202797,1900,3.278753600952829,0.02999999999999999,1.4771212547196624,0.18,0.015,0.0225,0.039,0.0615,8.479999999999999,16.075,311.35,202.725,6.2975
BM,2020,8,Aug 2020,55.135714285714286,1.741433005251771,17.420952380952382,1.9381811922088912,74,37300,5123.015938202797,3230,3.509202522331103,0.01824999999999999,1.2612628687924932,0.14250000000000002,0.0045,NA,0.017,NA,8.26,17.9,269.32500000000005,NA,3.3925
BM,2020,9,Sep 2020,116.38571428571429,2.065899676296386,24.883333333333333,1.9381811922088912,103,37300,5123.015938202797,2350,3.3710678622717363,0.01591666666666666,1.2018521212001025,0.15583333333333335,0.005,0.02,0.025,0.045,8.1525,15.65,291.85,NA,2.9875
BM,2021,7,Jul 2021,57.333333333333336,1.7584071921878863,16.38095238095238,1.7656629353470887,39,28200,5123.015938202797,2930,3.4668676203541096,0.015,1.1760912590556813,0.13,0.001,0.02,0.02,0.04,8.440000000000001,17.6,262.35,NA,2.045
BM,2021,8,Aug 2021,59.19047619047619,1.7722518339077256,14.047619047619047,1.7656629353470887,58,28200,5123.015938202797,2130,3.3283796034387376,0.01099999999999999,1.0413926851582247,0.14500000000000002,0.001,0.02,0.0175,0.0375,8.387500000000001,17,280.52500000000003,NA,3.2675
BM,2022,7,Jul 2022,41.683414285714285,1.6199632847808023,15.285714285714286,1.776037221203722,37,28700,5123.015938202797,4510,3.6541765418779604,0.019,1.2787536009528289,0.14,0.004,NA,0.01,NA,7.99,17.4,237.6,NA,6.14
BM,2022,7,Jul 2022,66.0385,1.8197972001279876,18.142857142857142,1.776037221203722,47,28700,5123.015938202797,2820,3.450249108319361,0.019,1.2787536009528289,0.14,0.004,NA,0.01,NA,7.99,17.4,237.6,NA,6.14
BM,2022,9,Sep 2022,116.16406190476192,2.065071789581757,21.047619047619047,1.776037221203722,81,28700,5123.015938202797,1810,3.2576785748691846,0.02308333333333333,1.3632985230168237,0.2025,0.01,0.02,0.033,0.053,8.324166666666667,17.725,289.975,NA,3.230833333333333
BM,2023,7,Jul 2023,46.322857142857146,1.6657953383512714,17.728,1.7656629353470887,72,28200,5123.015938202797,3190,3.503790683057181,0.01375,1.1383026981662814,0.1825,0.004,NA,0.025,NA,8.446666666666667,18.166666666666668,277.1666666666667,NA,NA
BM,2023,7,Jul 2023,30.43285714285714,1.4833427273541508,8.468571428571428,1.7656629353470887,86,28200,5123.015938202797,2130,3.3283796034387376,0.01375,1.1383026981662814,0.1825,0.004,NA,0.025,NA,8.446666666666667,18.166666666666668,277.1666666666667,NA,NA
BM,2023,9,Sep 2023,111.30809523809523,2.046526750941945,21.763809523809524,1.7656629353470887,118,28200,5123.015938202797,2220,3.346352974450639,0.00999999999999999,0.9999999999999996,0.15000000000000002,0.002,0.05,0.0225,0.07250000000000001,8.55,16.05,313.5,NA,NA
BM,2025,7,Jul 2025,142.71632336655597,2.154473648956207,59.10852713178291,1.449437957923796,52,15600,5123.015938202797,2800,3.4471580313422194,0.019,1.2787536009528289,0.18,0.002,0.02,0.044,0.064,8.379999999999999,NA,267.65,NA,NA
BM,2025,7,Jul 2025,32.2584826873385,1.5086439360221482,10.426356589147291,1.449437957923796,77,15600,5123.015938202797,1350,3.130333768495006,0.019,1.2787536009528289,0.18,0.002,0.02,0.044,0.064,8.379999999999999,NA,267.65,NA,NA
BM,2025,8,Aug 2025,97.25666666666666,1.9879193806641888,25.23696264975336,1.449437957923796,91,15600,5123.015938202797,1580,3.1986570869544226,0.01725,1.236789099409293,0.18,0.002,0.02,0.052,0.072,8.44,NA,278.79999999999995,NA,NA
BM,2025,9,Sep 2025,80.9551782945736,1.9082446336061547,22.24806201550388,1.449437957923796,120,15600,5123.015938202797,1120,3.0492180226701815,0.0125,1.0969100130080565,0.1875,NA,NA,0.07525,NA,8.465,NA,296.7,NA,NA
BN,2008,8,Aug 2008,112.75,2.0521165505499983,103.72,1.6371406053247204,56,3100,706.4863138329094,380,2.57978359661681,0.0315,1.4983105537896004,0.21666666666666667,NA,0.02,0.00583333333333332,0.02583333333333333,8.59,17.733333333333334,439.33333333333337,233.35,3.835
BN,2008,9,Sep 2008,259.4736842105263,2.414093318324401,61.085,1.6371406053247204,87,3100,706.4863138329094,658,2.8182258936139557,0.0265,1.423245873936808,0.2,NA,0.01,0.00616666666666666,0.01616666666666666,8.643333333333334,14.908333333333331,480.5,255.08333333333337,4.364166666666667
BN,2009,8,Aug 2009,144.85714285714286,2.1609399149830604,111.7,1.7365981085822977,67,3700,706.4863138329094,722,2.858537197569639,0.04470208333333334,1.6503277638273892,0.268125,0.01567166666666666,0.00852333333333332,0.00616125,0.01468458333333332,8.318333333333335,18.516666666666666,399,211.96666666666664,7.168333333333333
BN,2009,9,Sep 2009,225.6190476190476,2.353375761652827,56.35,1.7365981085822977,103,3700,706.4863138329094,412,2.6148972160331345,0.03021833333333333,1.4802705075179936,0.2535,0.01065999999999999,0.00932666666666666,0.00850666666666666,0.01783333333333332,8.416666666666668,17.833333333333332,451.5,239.83333333333331,4.641666666666667
BN,2010,8,Aug 2010,61.98947368421053,1.792317949030821,68.6842105263158,1.801421877956922,44,4130,706.4863138329094,563,2.7505083948513462,0.0414,1.6170003411208989,0.22945833333333332,0.02139999999999999,0.00862499999999999,0.00577083333333333,0.01439583333333333,7.976666666666667,19.1,399.5,212.0666666666667,3.798333333333334
BN,2010,9,Sep 2010,138.35714285714286,2.141001585040873,82.45,1.801421877956922,84,4130,706.4863138329094,819,2.9132839017604186,0.03275,1.515211304327802,0.22583333333333333,0.0162,0.00682499999999999,0.00343333333333333,0.01025833333333333,8.14,17.016666666666666,445.83333333333337,238.16666666666669,3.2283333333333335
BN,2011,8,Aug 2011,34.875,1.542514216281654,16.444444444444443,2.220985564802777,52,7740,706.4863138329094,923,2.965201701025912,0.05406666666666666,1.7329295951554746,0.2308333333333333,0.02418333333333333,0.00921666666666666,0.01155,0.02076666666666666,8.308333333333334,16.9,336.41666666666663,218.71666666666664,7.581666666666667
BN,2011,9,Sep 2011,69.55555555555556,1.8423318237711048,17.2,2.220985564802777,85,7740,706.4863138329094,550,2.7403626894942437,0.040475,1.6071868574254113,0.20891666666666664,0.02135,0.00715,0.00439166666666666,0.01154166666666666,8.393333333333334,15.075,399.8666666666667,259.9583333333333,3.293333333333334
BN,2012,7,Jul 2012,216.1428571428571,2.33474088800893,122.76190476190476,1.4558531825714345,94,2180,706.4863138329094,346,2.5390760987927767,0.02732999999999999,1.4366396316926606,0.26558333333333334,0.01365666666666666,0.00889833333333333,0.00289833333333333,0.01179666666666666,8.395,16.883333333333333,361.525,235.0583333333333,3.64
BN,2012,9,Sep 2012,167.85,2.2249213455840313,71.28571428571429,1.4558531825714345,126,2180,706.4863138329094,266,2.424881636631067,0.01737583333333333,1.2399456422342137,0.2504575,0.00416833333333332,0.00976,0.00575999999999999,0.01551999999999999,8.270833333333334,15.225,464.475,302.03333333333336,2.5700000000000003
BN,2013,6,Jun 2013,99,1.99563519459755,78.0952380952381,1.1519669008838105,28,1080,706.4863138329094,564,2.751279103983342,0.01542,1.1880843737149382,0.31027333333333335,0.00556,0.01807666666666666,0.011175,0.02925166666666666,8.3,19,446.4,289.9,2.075
BN,2013,8,Aug 2013,111.95238095238096,2.0490333343910203,60.61904761904762,1.1519669008838105,65,1080,706.4863138329094,216,2.3344537511509307,0.0147475,1.1687184048411852,0.2619841666666667,0.006095,0.01419083333333333,0.00676749999999999,0.02095833333333333,8.307500000000001,18.275,476.95,309.9,2.265
BN,2013,9,Sep 2013,119.61904761904762,2.077800340331239,63.476190476190474,1.1519669008838105,93,1080,706.4863138329094,225,2.3521825181113627,0.02142,1.3308194664958368,0.22493,0.00682,0.0108,0.0017925,0.0125925,8.297500000000001,16.65,513.75,333.95,4.8425
BN,2014,8,Aug 2014,157.8181818181818,2.198157035682248,128.78636363636363,1.5478629776732984,145,2620,706.4863138329094,347,2.5403294747908736,0.03986666666666666,1.6006099249327295,0.2384166666666667,0.02030833333333333,0.01765,0.00455833333333333,0.02220833333333333,8.2075,18.525,463.375,301.275,4.925
BN,2014,8,Aug 2014,99.57142857142856,1.9981347380837524,27.247619047619047,1.5478629776732984,173,2620,706.4863138329094,597,2.775974331129369,0.03986666666666666,1.6006099249327295,0.2384166666666667,0.02030833333333333,0.01765,0.00455833333333333,0.02220833333333333,8.2075,18.525,463.375,301.275,4.925
BN,2015,7,Jul 2015,68.9047619047619,1.8382492363851184,97.76190476190476,1.285274334759439,28,1500,706.4863138329094,419,2.622214022966295,0.01,1,0.24533333333333335,0.00245,0.00755,0.00233333333333333,0.00988333333333333,8.239999999999998,19.15,395,256.75,1.245
BN,2015,8,Aug 2015,179.15,2.2532168125021292,151.9,1.285274334759439,59,1500,706.4863138329094,280,2.4471580313422194,0.01557499999999999,1.192428055331207,0.25316666666666665,0.002175,0.01035,0.00259166666666666,0.01294166666666666,8.2275,17.7,449.625,292.175,2.705
BN,2015,9,Sep 2015,57.04761904761905,1.7562375233193734,26.52380952380953,1.285274334759439,96,1500,706.4863138329094,273,2.436162647040756,0.02907499999999999,1.4635197234004858,0.30725,0.003475,0.01377499999999999,0.002275,0.01605,8.285,14.625,492,319.65,5.720000000000001
BN,2016,7,Jul 2016,181.1818181818182,2.2581146135422627,221.86045454545456,1.23476021955334,38,1330,706.4863138329094,336,2.526339277389844,0.00879999999999999,0.9444826721501681,0.21166666666666667,0.00123333333333333,0.00803333333333333,0.00163333333333333,0.00966666666666666,8.135,17.3,465.15,302.3,0.94
BN,2016,7,Jul 2016,191.46666666666667,2.2820931765145813,115.64666666666666,1.23476021955334,63,1330,706.4863138329094,233,2.367355921026019,0.00879999999999999,0.9444826721501681,0.21166666666666667,0.00123333333333333,0.00803333333333333,0.00163333333333333,0.00966666666666666,8.135,17.3,465.15,302.3,0.94
BN,2016,9,Sep 2016,96.27272727272728,1.98350327494926,60.10454545454545,1.23476021955334,99,1330,706.4863138329094,176,2.24551266781415,0.0621,1.7930916001765802,0.41475000000000006,0.006725,0.02987499999999999,0.017025,0.0469,8.41,14.5,493.625,320.92499999999995,21.83
BN,2017,7,Jul 2017,21.735294117647054,1.3371655213525706,24.08235294117647,1.937699625459073,21,5140,706.4863138329094,600,2.7781512503836434,0.03304999999999999,1.519171463821659,0.225,0.01265,0.01745,0.00469999999999999,0.02214999999999999,8.260000000000002,19.85,445.25,289.55,2.985
BN,2017,8,Aug 2017,25.86190476190476,1.4126605080587082,16.042857142857144,1.937699625459073,49,5140,706.4863138329094,225,2.3521825181113627,0.02387499999999999,1.3779433802557837,0.24874999999999997,0.0073,0.01632499999999999,0.00582499999999999,0.02214999999999999,8.2825,18.85,476.35,309.70000000000005,2.3125
BN,2017,9,Sep 2017,58.45238095238096,1.7668022060610868,31.16190476190476,1.937699625459073,81,5140,706.4863138329094,213,2.3283796034387376,0.02374999999999999,1.375663613960885,0.3035,0.00435,0.01329999999999999,0.00895,0.02224999999999999,8.265,15.375,506.875,329.52500000000003,3.4575
BN,2018,8,Aug 2018,24.37142857142857,1.3868809868172474,27.97142857142857,2.0254030022684777,44,5870,706.4863138329094,520,2.716003343634799,0.03989166666666666,1.6008821814343237,0.22866666666666668,0.01466666666666666,0.01215,0.0051125,0.0172625,8.3,19.225,409.05000000000007,266,3.8775
BN,2018,9,Sep 2018,65.22857142857143,1.8144378671399597,14.676190476190476,2.0254030022684777,75,5870,706.4863138329094,536,2.72916478969277,0.02775,1.443262987458695,0.22800000000000004,0.00712499999999999,0.02087499999999999,0.0045,0.02537499999999999,8.42,16.55,453.65,295.1,2.4
BN,2019,7,Jul 2019,77.55578947368421,1.8896142230732256,123.4242105263158,1.7271598890235889,97,3640,706.4863138329094,915,2.9614210940664485,0.0445,1.6483600109809315,0.185,0.039,0.01365,0.005,0.01865,8.58,18.65,423.5,275.275,4.51
