"Site","bracket","driver","frozen_early","frozen_late","frozen_delta","actual_delta","contribution","pct_share_freeze","term_delta","pct_share_terms","rank_freeze","rank_terms","rank_agree"
"BM","high","anomaly",1.81665787399446,2.14536558552349,0.32870771152903,0.348956256781202,0.0202485452521723,4.52651939485351,0.018287979865114,4.48249741520483,5,5,TRUE
"BM","high","Days_Since_Freshet",1.82352888188955,2.11295511339422,0.289426231504677,0.348956256781202,0.0595300252765245,13.3078110370126,0.0540946058714222,13.2589237730803,2,2,TRUE
"BM","high","lag_y",1.85169906679455,2.17111833417568,0.319419267381132,0.348956256781202,0.0295369894000701,6.60293140667259,0.0295369894000702,7.23969949744484,3,3,TRUE
"BM","high","logQ_obs_cfs",1.82511983124368,2.20136957703365,0.376249745789973,0.348956256781202,-0.0272934890087706,6.10140164702286,-0.0247312517535531,6.06178336140633,4,4,TRUE
"BM","high","logTP_mg_L",1.82393716066258,2.1781678745188,0.354230713856216,0.348956256781202,-0.00527445707501428,1.17909370525337,-0.00478382019858697,1.17254403346518,6,6,TRUE
"BM","high","Temp_oC",1.80371508521928,1.84722338898528,0.0435083037660029,0.348956256781202,0.305447953015199,68.2822428091851,0.276551753596736,67.7845519193985,1,1,TRUE
"BM","low","anomaly",1.80217154086564,1.97045499353228,0.168283452666644,0.169251962485425,0.000968509818780383,0.43524692759314,0.000896586706375775,0.441930903488339,6,6,TRUE
"BM","low","Days_Since_Freshet",1.8033830328959,1.93221813923464,0.128835106338734,0.169251962485425,0.0404168561466909,18.1632773563136,0.0368007062631593,18.1392042199996,2,2,TRUE
"BM","low","lag_y",1.82936708343247,1.986193220806,0.156826137373522,0.169251962485425,0.0124258251119023,5.58414803638818,0.0124258251119017,6.12473515304305,4,4,TRUE
"BM","low","logQ_obs_cfs",1.80116946589874,1.98661647870155,0.185447012802806,0.169251962485425,-0.0161950503173811,7.27803245374718,-0.01465697451902,7.22447694744348,3,3,TRUE
"BM","low","logTP_mg_L",1.79981580165583,1.97144973801013,0.171633936354302,0.169251962485425,-0.00238197386887684,1.07045565045622,-0.00215673755894933,1.06306391923487,5,5,TRUE
"BM","low","Temp_oC",1.79107129649639,1.81019185207692,0.0191205555805278,0.169251962485425,0.150131406904897,67.4688395755017,0.135942556481957,67.0065888567907,1,1,TRUE
"BN","high","anomaly",2.01795956502903,2.00544063992897,-0.0125189251000624,0.00444550310825376,0.0169644282083161,12.9785240401378,0.0154760039102666,13.0029208119609,5,4,FALSE
"BN","high","Days_Since_Freshet",2.01819228733055,1.97168505990546,-0.0465072274250915,0.00444550310825376,0.0509527305333453,38.9810508210063,0.0462564690905638,38.8646325054563,1,1,TRUE
"BN","high","lag_y",2.03364775586828,2.03929283067537,0.00564507480708709,0.00444550310825376,-0.00119957169883333,0.917724425486116,-0.00119957169883215,1.00787877145962,6,6,TRUE
"BN","high","logQ_obs_cfs",2.02031384128312,2.0436567916511,0.0233429503679772,0.00444550310825376,-0.0188974472597234,14.4573675308035,-0.0171330529799663,14.3951715479887,3,3,TRUE
"BN","high","logTP_mg_L",2.02083415919169,2.04226629739332,0.0214321382016363,0.00444550310825376,-0.0169866350933825,12.9955132712602,-0.0153852067171024,12.9266331139538,4,5,FALSE
"BN","high","Temp_oC",2.00489505525329,2.03505128222536,0.0301562269720681,0.00444550310825376,-0.0257107238638143,19.6698199113061,-0.0235691384966752,19.8027632491808,2,2,TRUE
"BN","low","anomaly",2.00295804492113,2.0479751761778,0.0450171312566767,0.0537927112970054,0.00877558004032863,8.77256981306411,0.00793596564041311,8.73742791258711,5,5,TRUE
"BN","low","Days_Since_Freshet",2.00145458286949,2.04196331480193,0.040508731932444,0.0537927112970054,0.0132839793645614,13.279422651879,0.0122129630175122,13.4463641602977,2,2,TRUE
"BN","low","lag_y",2.01682511685688,2.06735188354067,0.050526766683781,0.0537927112970054,0.00326594461322438,3.26482431855736,0.00326594461322455,3.59577610558634,6,6,TRUE
"BN","low","logQ_obs_cfs",2.00282770681263,2.06753069396151,0.0647029871488805,0.0537927112970054,-0.0109102758518751,10.906533374491,-0.00986646725288427,10.8628930970888,3,3,TRUE
"BN","low","logTP_mg_L",2.00287234273335,2.06624012135706,0.0633677786237099,0.0537927112970054,-0.00957506732670454,9.57178285677845,-0.00865080293797829,9.5244574487154,4,4,TRUE
"BN","low","Temp_oC",1.98605331305301,1.98562255745941,-0.000430755593605392,0.0537927112970054,0.0542234668906107,54.20486698523,0.0488951082167178,53.8330812757246,1,1,TRUE
"DL","high","anomaly",2.30367516060445,2.25380443710954,-0.0498707234949105,-0.0413236752683339,0.00854704822657659,4.25047889153788,0.00784945838032627,4.28259291140389,4,4,TRUE
"DL","high","Days_Since_Freshet",2.30250359436993,2.191749419955,-0.110754174414931,-0.0413236752683339,0.069430499146597,34.5280456162529,0.0631324644679048,34.4444968951436,2,2,TRUE
"DL","high","lag_y",2.32710659815795,2.29254629397702,-0.0345603041809275,-0.0413236752683339,-0.00676337108740643,3.36344961214442,-0.00676337108740695,3.69003358865113,6,5,FALSE
"DL","high","logQ_obs_cfs",2.30395733161595,2.26949585551337,-0.0344614761025839,-0.0413236752683339,-0.00686219916575004,3.41259718330057,-0.00622158820389584,3.39444178804231,5,6,FALSE
"DL","high","logTP_mg_L",2.30439812177414,2.27412372522221,-0.0302743965519316,-0.0413236752683339,-0.0110492787164023,5.49484742636087,-0.0100035704173611,5.45785679499832,3,3,TRUE
"DL","high","Temp_oC",2.29888855609493,2.35599684332147,0.0571082872265363,-0.0413236752683339,-0.0984319624948702,48.9505812704034,-0.089317068407901,48.7305780217608,1,1,TRUE
"DL","low","anomaly",2.29563236855188,2.26324965937844,-0.0323827091734379,-0.0183177543942543,0.0140649547791836,14.7227316719898,0.0128072236389488,14.6548646669798,3,3,TRUE
"DL","low","Days_Since_Freshet",2.29036947585471,2.24832757241476,-0.0420419034399493,-0.0183177543942543,0.023724149045695,24.8336582683513,0.0217300503396012,24.8649477756485,2,2,TRUE
"DL","low","lag_y",2.31627888830754,2.30264155375835,-0.0136373345491907,-0.0183177543942543,-0.00468041984506362,4.89930942352647,-0.00468041984506394,5.35564313919394,5,5,TRUE
"DL","low","logQ_obs_cfs",2.2921925915845,2.27751887349431,-0.0146737180901937,-0.0183177543942543,-0.00364403630406063,3.8144572485279,-0.00329449858508077,3.76978120090654,6,6,TRUE
"DL","low","logTP_mg_L",2.29304854655943,2.28102148062169,-0.0120270659377364,-0.0183177543942543,-0.00629068845651792,6.58488559909703,-0.00567249645691252,6.4908422186964,4,4,TRUE
"DL","low","Temp_oC",2.28623912522212,2.31104935848327,0.0248102332611571,-0.0183177543942543,-0.0431279876554114,45.1449577885075,-0.0392076134857473,44.8639209985748,1,1,TRUE
"FH","high","anomaly",1.3260012774061,1.67107876698051,0.345077489574412,0.373366372505392,0.0282888829309804,6.1544567321946,0.025498588781453,6.08130518752653,4,4,TRUE
"FH","high","Days_Since_Freshet",1.32527989890521,1.64016415729904,0.314884258393822,0.373366372505392,0.0584821141115701,12.7232185797183,0.0529649657297821,12.6319194999518,2,2,TRUE
"FH","high","lag_y",1.34032104840872,1.67953285065022,0.339211802241508,0.373366372505392,0.0341545702638844,7.43058060682821,0.034154570263884,8.14572002802666,3,3,TRUE
"FH","high","logQ_obs_cfs",1.33290985460155,1.73163028167332,0.398720427071768,0.373366372505392,-0.0253540545663762,5.51596300904396,-0.0229641509155946,5.47685251474492,5,5,TRUE
"FH","high","logTP_mg_L",1.33063918756827,1.69792386071482,0.367284673146556,0.373366372505392,0.0060816993588364,1.32311889633449,0.00550944048453208,1.31397816899279,6,6,TRUE
"FH","high","Temp_oC",1.31014033201914,1.37621928400781,0.066078951988668,0.373366372505392,0.307287420516724,66.8526621758805,0.278202958161335,66.3502246007573,1,1,TRUE
"FH","low","anomaly",1.31967462248767,1.47419476882974,0.154520146342066,0.171303477873687,0.0167833315316208,7.66673461911266,0.015162177145822,7.59775726613584,2,2,TRUE
"FH","low","Days_Since_Freshet",1.32066736973031,1.47740207927157,0.156734709541265,0.171303477873687,0.0145687683324214,6.65510779677845,0.0131597622773564,6.59434845680827,5,5,TRUE
"FH","low","lag_y",1.3333797503588,1.48962541801769,0.156245667658888,0.171303477873687,0.0150578102147982,6.87850529820721,0.0150578102147988,7.54545906378008,4,3,FALSE
"FH","low","logQ_obs_cfs",1.32543764138655,1.51234713415629,0.18690949276974,0.171303477873687,-0.0156060148960537,7.12892874960734,-0.0141288714111715,7.07996842367109,3,4,FALSE
"FH","low","logTP_mg_L",1.32333224237329,1.4906935522276,0.167361309854316,0.171303477873687,0.00394216801937097,1.80080790107299,0.00356908017551306,1.78846379224621,6,6,TRUE
"FH","low","Temp_oC",1.31431002001178,1.33266051119033,0.0183504911785481,0.171303477873687,0.152952986695138,69.8699156352213,0.138483519471368,69.3940029973585,1,1,TRUE
"GR","high","anomaly",2.04413267437423,2.05290967837408,0.00877700399985315,0.0252468136908877,0.0164698096910345,14.5797394287409,0.0150247828035472,14.7020427381489,3,3,TRUE
"GR","high","Days_Since_Freshet",2.04416008901166,2.01606742440687,-0.0280926646047974,0.0252468136908877,0.0533394782956851,47.2182562764769,0.0484230256668298,47.3828741601598,1,1,TRUE
"GR","high","lag_y",2.06059337473674,2.08556698725291,0.0249736125161739,0.0252468136908877,0.000273201174713744,0.241848692466714,0.000273201174713329,0.267332672908892,6,6,TRUE
"GR","high","logQ_obs_cfs",2.04624059221065,2.08325262164905,0.0370120294384,0.0252468136908877,-0.0117652157475123,10.4150432299789,-0.0106676276355211,10.4384815050412,4,4,TRUE
"GR","high","logTP_mg_L",2.04730445861423,2.09583997350111,0.0485355148868805,0.0252468136908877,-0.0232887011959928,20.6160970552207,-0.0210868454054138,20.6338891161834,2,2,TRUE
"GR","high","Temp_oC",2.063597216611,2.09667130075325,0.033074084142251,0.0252468136908877,-0.00782727045136333,6.92901531711583,-0.00671972291326822,6.5753798075579,5,5,TRUE
"GR","low","anomaly",2.06484923094689,1.95258523510286,-0.112263995844027,-0.103744279599732,0.00851971624429537,5.34674910084687,0.00770458143597592,5.29484961642474,5,5,TRUE
"GR","low","Days_Since_Freshet",2.06321564792518,1.9451330662881,-0.118082581637078,-0.103744279599732,0.0143383020373462,8.99834000659164,0.0131787108738459,9.05685698765241,3,2,FALSE
"GR","low","lag_y",2.07670391078735,1.98440149929454,-0.0923024114928122,-0.103744279599732,-0.0114418681069199,7.18061450152702,-0.0114418681069192,7.86323974385114,4,4,TRUE
"GR","low","logQ_obs_cfs",2.06385839549387,1.96612102400766,-0.0977373714862189,-0.103744279599732,-0.00600690811351323,3.7697770247104,-0.00543749949529896,3.73683403261303,6,6,TRUE
"GR","low","logTP_mg_L",2.06594331920398,1.97675114003879,-0.0891921791651828,-0.103744279599732,-0.0145521004345492,9.13251423906954,-0.0131425091283882,9.03197792061374,2,3,FALSE
"GR","low","Temp_oC",2.0689772910295,2.06971797354725,0.000740682517754276,-0.103744279599732,-0.104484962117486,65.5720051272545,-0.0946056951789473,65.016241698845,1,1,TRUE
"HU","high","anomaly",1.74636607484849,2.1046081437011,0.358242068852611,0.379157111924253,0.0209150430716418,4.34112340223562,0.0188899445772895,4.30129207423676,5,5,TRUE
"HU","high","Days_Since_Freshet",1.75343189520909,2.07424691425286,0.320815019043764,0.379157111924253,0.0583420928804892,12.1094766035791,0.0530142688634627,12.0714940984009,2,2,TRUE
"HU","high","lag_y",1.78585493861149,2.13298877912791,0.34713384051642,0.379157111924253,0.0320232714078326,6.64674571544031,0.0320232714078332,7.29178653405083,3,3,TRUE
"HU","high","logQ_obs_cfs",1.75516119433678,2.16319840881178,0.408037214475002,0.379157111924253,-0.0288801025507495,5.99435002895175,-0.0261684612319577,5.95863023480308,4,4,TRUE
"HU","high","logTP_mg_L",1.75379305667211,2.13717879564524,0.383385738973131,0.379157111924253,-0.00422862704887761,0.877693236314628,-0.00383751986204389,0.873813774296633,6,6,TRUE
"HU","high","Temp_oC",1.71641748818217,1.75817501249599,0.04175752431382,0.379157111924253,0.337399587610433,70.0306110134786,0.30523560816967,69.5029832842119,1,1,TRUE
"HU","low","anomaly",1.71449982039238,1.93037459606413,0.215874775671749,0.216875166548506,0.00100039087675707,0.361916885507764,0.000926099910795904,0.367822746198016,6,6,TRUE
"HU","low","Days_Since_Freshet",1.71549991405741,1.89274396491964,0.177244050862231,0.216875166548506,0.0396311156862743,14.3375657371746,0.0360843800791817,14.3317752446071,2,2,TRUE
"HU","low","lag_y",1.74733345783506,1.94781211674423,0.200478658909177,0.216875166548506,0.0163965076393287,5.93185435403675,0.016396507639328,6.51226546687739,4,3,FALSE
"HU","low","logQ_obs_cfs",1.71358073303723,1.9479024780691,0.234321745031869,0.216875166548506,-0.0174465784833635,6.31174423334828,-0.0157885256097462,6.2707908515007,3,4,FALSE
"HU","low","logTP_mg_L",1.71194690605019,1.93065735143888,0.21871044538869,0.216875166548506,-0.00183527884018431,0.663958875785609,-0.00166332024572404,0.660627447921014,5,5,TRUE
"HU","low","Temp_oC",1.68397942058963,1.70074992349983,0.0167705029102032,0.216875166548506,0.200104663638302,72.392959914147,0.18092002477467,71.8567182428957,1,1,TRUE
"MS","high","anomaly",1.89125083760162,2.16833438718104,0.277083549579417,0.296720215309821,0.0196366657304041,5.28392705668122,0.0177353449592472,5.22512798960666,5,5,TRUE
"MS","high","Days_Since_Freshet",1.89790720180944,2.13513439210961,0.237227190300177,0.296720215309821,0.0594930250096435,16.0086650579145,0.0540609577813442,15.9272584941159,2,2,TRUE
"MS","high","lag_y",1.91487368035582,2.18588989596961,0.271016215613787,0.296720215309821,0.0257039996960338,6.91655402823845,0.0257039996960341,7.57282638511982,3,3,TRUE
"MS","high","logQ_obs_cfs",1.89922777123854,2.21873177660154,0.319504005362998,0.296720215309821,-0.0227837900531769,6.13077018107636,-0.0206462650517789,6.08273352735886,4,4,TRUE
"MS","high","logTP_mg_L",1.89804396817833,2.19553883038704,0.297494862208707,0.296720215309821,-0.000774646898886511,0.208445657964378,-0.000705689797087378,0.207907966786885,6,6,TRUE
"MS","high","Temp_oC",1.90236400018944,1.95584619887217,0.0534821986827354,0.296720215309821,0.243238016627085,65.4516380181251,0.220571867722062,64.9841456370118,1,1,TRUE
"MS","low","anomaly",1.9007461908259,1.99424091508376,0.0934947242578565,0.0944339661055147,0.000939241847658145,0.72650425792752,0.000869492535981203,0.735653665677764,5,5,TRUE
"MS","low","Days_Since_Freshet",1.90203357699297,1.95607605675016,0.0540424797571872,0.0944339661055147,0.0403914863483275,31.2428443102779,0.0367775865599949,31.1165021527297,2,2,TRUE
"MS","low","lag_y",1.91479626965212,2.00249823591778,0.0877019662656642,0.0944339661055147,0.00673199983985051,5.20720681282813,0.00673199983985059,5.69575948566311,4,4,TRUE
"MS","low","logQ_obs_cfs",1.89949126666977,2.00705059784501,0.107559331175238,0.0944339661055147,-0.0131253650697229,10.152479506511,-0.0118796120264049,10.0510122541677,3,3,TRUE
"MS","low","logTP_mg_L",1.89804854982759,1.9923355585533,0.0942870087257055,0.0944339661055147,0.000146957379809187,0.113671641049053,0.000130744969411435,0.11061971441527,6,6,TRUE
"MS","low","Temp_oC",1.91032744483666,1.93681410177042,0.0264866569337632,0.0944339661055147,0.0679473091717515,52.5572934714064,0.0618037542266812,52.2904527273464,1,1,TRUE
