"temp_variant","Site","bracket","eoc_year","median_logCHLa","n_members","p_exceed_150","actual_delta","frozen_delta","temp_contribution","temp_driver_share"
"V0","BM","high",2098,2.18844828448617,11,0.712590909090909,0.348956256781202,0.0435083037660029,0.305447953015199,0.875318745772531
"V1","BM","high",2098,2.10153346736237,11,0.5375,0.26212375907297,0.0444888546863145,0.217634904386656,0.830275382728928
"V2","BM","high",2098,2.18844828448617,11,0.714863636363636,0.348956256781202,0.0435083037660029,0.305447953015199,0.875318745772531
"V3mild","BM","high",2098,2.18844828448617,11,0.712318181818182,0.348956256781202,0.0435083037660027,0.305447953015199,0.875318745772532
"V3strong","BM","high",2098,2.18844828448617,11,0.712363636363636,0.348956256781202,0.0435083037660027,0.305447953015199,0.875318745772532
"V0","BM","low",2098,1.96789008307073,10,0.2485,0.169251962485425,0.0191205555805278,0.150131406904897,0.887029046518888
"V1","BM","low",2098,1.96789008307073,10,0.24825,0.169251962485425,0.0191205555805278,0.150131406904897,0.887029046518888
"V2","BM","low",2098,1.96789008307073,10,0.2516,0.169251962485425,0.0191205555805278,0.150131406904897,0.887029046518888
"V3mild","BM","low",2098,1.96789008307073,10,0.2501,0.169251962485425,0.0191205555805278,0.150131406904897,0.887029046518888
"V3strong","BM","low",2098,1.96789008307073,10,0.25195,0.169251962485425,0.0191205555805278,0.150131406904897,0.887029046518888
"V0","BN","high",2098,2.01827620955868,11,0.395045454545455,0.00444550310825376,0.0301562269720681,-0.0257107238638143,-5.78353523498352
"V1","BN","high",2098,2.01827620955868,11,0.386545454545455,0.00444550310825376,0.0301562269720681,-0.0257107238638143,-5.78353523498352
"V2","BN","high",2098,2.01827620955868,11,0.386181818181818,0.00444550310825376,0.0301562269720681,-0.0257107238638143,-5.78353523498352
"V3mild","BN","high",2098,2.01827620955868,11,0.387681818181818,0.00444550310825376,0.0301562269720681,-0.0257107238638143,-5.78353523498352
"V3strong","BN","high",2098,2.01827620955868,11,0.385681818181818,0.00444550310825376,0.0301562269720681,-0.0257107238638143,-5.78353523498352
"V0","BN","low",2098,2.05429745237241,10,0.4705,0.0537927112970054,-0.000430755593605392,0.0542234668906107,1.008007694411
"V1","BN","low",2098,2.05429745237241,10,0.47855,0.0537927112970054,-0.000430755593605392,0.0542234668906107,1.008007694411
"V2","BN","low",2098,2.05429745237241,10,0.48335,0.0537927112970054,-0.000430755593605392,0.0542234668906107,1.008007694411
"V3mild","BN","low",2098,2.05429745237241,10,0.47995,0.0537927112970049,-0.000430755593605392,0.0542234668906103,1.008007694411
"V3strong","BN","low",2098,2.05429745237241,10,0.483,0.0537927112970049,-0.000430755593605392,0.0542234668906103,1.008007694411
"V0","DL","high",2098,2.28651021724259,11,0.831590909090909,-0.0413236752683339,0.0571082872265363,-0.0984319624948702,2.38197502656057
"V1","DL","high",2098,2.28651021724259,11,0.830909090909091,-0.0413236752683339,0.0571082872265363,-0.0984319624948702,2.38197502656057
"V2","DL","high",2098,2.28651021724259,11,0.831727272727273,-0.0413236752683339,0.0571082872265363,-0.0984319624948702,2.38197502656057
"V3mild","DL","high",2098,2.2865102172426,11,0.832863636363636,-0.0413236752683335,0.0571082872265363,-0.0984319624948697,2.38197502656059
"V3strong","DL","high",2098,2.2865102172426,11,0.832909090909091,-0.0413236752683335,0.0571082872265363,-0.0984319624948697,2.38197502656059
"V0","DL","low",2098,2.30294181868673,10,0.84655,-0.0183177543942543,0.0248102332611571,-0.0431279876554114,2.35443639690568
"V1","DL","low",2098,2.30294181868673,10,0.8453,-0.0183177543942543,0.0248102332611571,-0.0431279876554114,2.35443639690568
"V2","DL","low",2098,2.30294181868673,10,0.8511,-0.0183177543942543,0.0248102332611571,-0.0431279876554114,2.35443639690568
"V3mild","DL","low",2098,2.30294181868673,10,0.84995,-0.0183177543942548,0.0248102332611571,-0.0431279876554118,2.35443639690565
"V3strong","DL","low",2098,2.30294181868673,10,0.8464,-0.0183177543942548,0.0248102332611571,-0.0431279876554118,2.35443639690565
"V0","FH","high",2098,1.68878861167114,11,0,0.373366372505392,0.066078951988668,0.307287420516724,0.823018469646155
"V1","FH","high",2098,1.59559373490382,11,0,0.279992838706896,0.0652018962570062,0.214790942449889,0.767130128905684
"V2","FH","high",2098,1.68878861167114,11,0,0.373366372505392,0.066078951988668,0.307287420516724,0.823018469646155
"V3mild","FH","high",2098,1.68878861167114,11,0,0.373366372505392,0.066078951988668,0.307287420516724,0.823018469646155
"V3strong","FH","high",2098,1.68878861167114,11,0,0.373366372505392,0.066078951988668,0.307287420516724,0.823018469646155
"V0","FH","low",2098,1.50460640247945,10,0,0.171303477873687,0.0183504911785481,0.152952986695138,0.892877299361784
"V1","FH","low",2098,1.50460640247945,10,0,0.171303477873687,0.0183504911785481,0.152952986695138,0.892877299361784
"V2","FH","low",2098,1.50460640247945,10,0,0.171303477873687,0.0183504911785481,0.152952986695138,0.892877299361784
"V3mild","FH","low",2098,1.50460640247945,10,0,0.171303477873687,0.0183504911785484,0.152952986695138,0.892877299361783
"V3strong","FH","low",2098,1.50460640247945,10,0,0.171303477873687,0.0183504911785484,0.152952986695138,0.892877299361783
"V0","GR","high",2098,2.06353258437147,11,0.501545454545455,0.0252468136908877,0.033074084142251,-0.00782727045136333,-0.310030031797178
"V1","GR","high",2098,2.06353258437147,11,0.509818181818182,0.0252468136908877,0.033074084142251,-0.00782727045136333,-0.310030031797178
"V2","GR","high",2098,2.06353258437147,11,0.505818181818182,0.0252468136908877,0.033074084142251,-0.00782727045136333,-0.310030031797178
"V3mild","GR","high",2098,2.06353258437147,11,0.510454545454545,0.0252468136908877,0.033074084142251,-0.00782727045136333,-0.310030031797178
"V3strong","GR","high",2098,2.06353258437147,11,0.506818181818182,0.0252468136908877,0.033074084142251,-0.00782727045136333,-0.310030031797178
"V0","GR","low",2098,1.95816730393017,10,0.2304,-0.103744279599732,0.000740682517754276,-0.104484962117486,1.00713950225123
"V1","GR","low",2098,1.95816730393017,10,0.2295,-0.103744279599732,0.000740682517754276,-0.104484962117486,1.00713950225123
"V2","GR","low",2098,1.95816730393017,10,0.22665,-0.103744279599732,0.000740682517754276,-0.104484962117486,1.00713950225123
"V3mild","GR","low",2098,1.95816730393017,10,0.2236,-0.103744279599732,0.000740682517754276,-0.104484962117487,1.00713950225123
"V3strong","GR","low",2098,1.95816730393017,10,0.22585,-0.103744279599732,0.000740682517754276,-0.104484962117487,1.00713950225123
"V0","HU","high",2098,2.14846435867723,11,0.657272727272727,0.379157111924253,0.04175752431382,0.337399587610433,0.889867490281543
"V1","HU","high",2098,1.87531418794688,11,0.0716363636363636,0.106263488718058,0.0440115076686796,0.062251981049378,0.585826625874739
"V2","HU","high",2098,2.14846435867723,11,0.652681818181818,0.379157111924253,0.04175752431382,0.337399587610433,0.889867490281543
"V3mild","HU","high",2098,1.88575359031655,11,0.0825,0.11724936977564,0.0467994125795625,0.0704499571960771,0.600855743027747
"V3strong","HU","high",2098,1.70756846905921,11,0.00190909090909091,-0.0598644924955378,0.040624182358759,-0.100488674854297,1.67860230105161
"V0","HU","low",2098,1.92771333736383,10,0.16115,0.216875166548506,0.0167705029102032,0.200104663638302,0.922672092074441
"V1","HU","low",2098,1.82871000541766,10,0.04015,0.117936547960324,0.0173533659170026,0.100583182043321,0.852858454676487
"V2","HU","low",2098,1.92771333736383,10,0.1645,0.216875166548506,0.0167705029102032,0.200104663638302,0.922672092074441
"V3mild","HU","low",2098,1.91926950510058,10,0.15295,0.208451372748979,0.0169579882055766,0.191493384543403,0.918647749919125
"V3strong","HU","low",2098,1.91400950307144,10,0.14045,0.203223336128603,0.0172440996965786,0.185979236432025,0.915147049423171
"V0","MS","high",2098,2.20959537939966,11,0.749863636363636,0.296720215309821,0.0534821986827354,0.243238016627085,0.819755460116218
"V1","MS","high",2098,2.20959537939966,11,0.750636363636364,0.296720215309821,0.0534821986827354,0.243238016627085,0.819755460116218
"V2","MS","high",2098,2.20959537939966,11,0.754181818181818,0.296720215309821,0.0534821986827354,0.243238016627085,0.819755460116218
"V3mild","MS","high",2098,2.20959537939966,11,0.751727272727273,0.29672021530982,0.0534821986827354,0.243238016627085,0.819755460116218
"V3strong","MS","high",2098,2.20959537939966,11,0.747454545454545,0.29672021530982,0.0534821986827354,0.243238016627085,0.819755460116218
"V0","MS","low",2098,1.99062153390373,10,0.3013,0.0944339661055147,0.0264866569337632,0.0679473091717515,0.719521925996748
"V1","MS","low",2098,1.99062153390373,10,0.3024,0.0944339661055147,0.0264866569337632,0.0679473091717515,0.719521925996748
"V2","MS","low",2098,1.99062153390373,10,0.30365,0.0944339661055147,0.0264866569337632,0.0679473091717515,0.719521925996748
"V3mild","MS","low",2098,1.99062153390373,10,0.31265,0.0944339661055149,0.0264866569337632,0.0679473091717517,0.719521925996748
"V3strong","MS","low",2098,1.99062153390373,10,0.3022,0.0944339661055149,0.0264866569337632,0.0679473091717517,0.719521925996748
